photos,caption
https://drive.google.com/file/d/1uBJanc_FeFrPyQuygWI2Rsz3IBBbIthf/view?usp=sharing,Mid June Batch
"https://drive.google.com/file/d/1vf0ji53iZg2we4BD7B9HCjIvVeIcAJVK/view?usp=drive_link, https://drive.google.com/file/d/1s2Wa7-cep28jl0wJ-U1G2Lr6sIkH6gJr/view?usp=sharing, https://drive.google.com/file/d/1zNcQDW4Jev3FFjSWbbkWwnv51_wEdsrN/view?usp=sharing, https://drive.google.com/file/d/1O8u_kw4t--bPr1tGQNdPX1YqNGUtOcUe/view?usp=sharing, https://drive.google.com/file/d/1rVqIcvKJSbkvvqUsMRkLjgCPrm_DRxap/view?usp=sharing",Machino sourced
https://drive.google.com/file/d/1pptnQX6PpK-x2konvb744d-Md5mlrWrD/view?usp=sharing,8th PO Batch 2026
https://drive.google.com/file/d/1XVmZTyUQck_bW40lzVjtqtqX60r6KpEx/view?usp=sharing,7th PO Batch 2026
https://drive.google.com/file/d/1SmU885pv1uRaxZHZpV90i33TRIgF_0VJ/view?usp=sharing,6th PO Batch 2026
https://drive.google.com/file/d/1BZL1h1Y_aPCl-9aFCZWlwM0c_HXB73fw/view?usp=drive_link,Delayed Batch 5th PO 2026
https://drive.google.com/file/d/1QvLQdqmnhYo_dtGVm8x-xy1C5V-xaw4R/view?usp=drive_link,5th PO Batch 2026
https://drive.google.com/file/d/1kLTo4BlS3U1AUShdrze41-PQvombnrcN/view?usp=drive_link,Delayed Batch 4th RAYA PO 2026
https://drive.google.com/file/d/1Li4j1qbChNIJyPptz4SetkhnPkWOJShQ/view?usp=drive_link,4th RAYA PO Batch 2026
https://drive.google.com/file/d/1cQggDVESv0i1Iobqetn-tF9zCnALb1k5/view?usp=drive_link,3rd RAYA PO Batch 2026
https://drive.google.com/file/d/1TFgUi5ahZzq7vjsw63YklRIX4x-Q3gxm/view?usp=drive_link,2nd RAYA PO Batch 2026
https://drive.google.com/file/d/1SUt77Uj5khyEDvzYcfj9G8RlqGZz3DCX/view?usp=drive_link,1st RAYA PO Batch 2026
